Time(ms), Hdg, Alt, Temp, optflow_intTime,optflow_intX,optflow_intY,optflow_intXgyro,optflow_intYgyro,optflow_intZgyro,optflow_quality,optflow_timeDel,optflow_dist,imu_orientX,imu_orientY,imu_orientZ,imu_orientW,imu_angularX,imu_angularY,imu_angularZimu_linAccelX,imu_linAccelY,imu_linAccelZ
-584489,120.64,0.1,41.44,0,0,0,0,0,0,0,0,0,0.00530794,-0.00454395,0.264193,-0.964445,0.00101377,0.00265046,-0.00164487,0.127486,0.0196133,9.64974
-581469,120.64,0.1,41.44,0,0,0,0,0,0,0,0,0,0.00530794,-0.00454395,0.264193,-0.964445,0.00101377,0.00265046,-0.00164487,0.127486,0.0196133,9.64974
-578936,120.64,0.1,41.44,0,0,0,0,0,0,0,0,0,0.00530794,-0.00454395,0.264193,-0.964445,0.00101377,0.00265046,-0.00164487,0.127486,0.0196133,9.64974
-576169,120.64,0.1,41.44,0,0,0,0,0,0,0,0,0,0.00530794,-0.00454395,0.264193,-0.964445,0.00101377,0.00265046,-0.00164487,0.127486,0.0196133,9.64974
-573246,120.64,0.1,41.44,0,0,0,0,0,0,0,0,0,0.00530794,-0.00454395,0.264193,-0.964445,0.00101377,0.00265046,-0.00164487,0.127486,0.0196133,9.64974
-568004,120.64,0.1,41.44,0,0,0,0,0,0,0,0,0,0.00530794,-0.00454395,0.264193,-0.964445,0.00101377,0.00265046,-0.00164487,0.127486,0.0196133,9.64974
-565029,120.64,0.1,41.45,0,0,0,0,0,0,0,0,0,0.00530794,-0.00454395,0.264193,-0.964445,0.00101377,0.00265046,-0.00164487,0.127486,0.0196133,9.64974
-560821,120.63,0.1,41.45,0,0,0,0,0,0,0,0,0,0.00530794,-0.00454395,0.264193,-0.964445,0.00101377,0.00265046,-0.00164487,0.127486,0.0196133,9.64974
-557390,120.63,0.1,41.45,0,0,0,0,0,0,0,0,0,0.00530794,-0.00454395,0.264193,-0.964445,0.00101377,0.00265046,-0.00164487,0.127486,0.0196133,9.64974
-554214,120.63,0.1,41.45,0,0,0,0,0,0,0,0,0,0.00532052,-0.00452836,0.264167,-0.964452,0.000535814,0.00327764,-0.00127445,0.127486,0.0294199,9.64974
